SRC:   218 2021-10-17 08:16:51.618 UWB CNT: 10, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101379 TMP: 6.7 TS: 1021106004569 RSSI: -98 FPPL: -109 CSQ: 0
SRC:   225 2021-10-17 08:16:51.619 UWB CNT: 10, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101379 TMP: 6.7 TS: 1021106003953 RSSI: -89 FPPL: -92 CSQ: 100
SRC:   205 2021-10-17 08:16:51.643 UWB CNT: 10, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101379 TMP: 6.7 TS: 1021106006983 RSSI: -94 FPPL: -98 CSQ: 100
SRC:   226 2021-10-17 08:16:51.675 UWB CNT: 10, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101379 TMP: 6.7 TS: 1021106005931 RSSI: -96 FPPL: -99 CSQ: 100
SRC:   213 2021-10-17 08:16:51.687 UWB CNT: 10, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101379 TMP: 6.7 TS: 1021106004790 RSSI: -95 FPPL: -105 CSQ: 100
SRC:   215 2021-10-17 08:16:51.719 UWB CNT: 10, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101379 TMP: 6.7 TS: 1021106006862 RSSI: -102 FPPL: -109 CSQ: 100
SRC:   218 2021-10-17 08:16:56.425 UWB CNT: 11, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101379 TMP: 6.8 TS: 228705674792 RSSI: -97 FPPL: -109 CSQ: 0
SRC:   225 2021-10-17 08:16:56.425 UWB CNT: 11, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101379 TMP: 6.8 TS: 228705674191 RSSI: -90 FPPL: -93 CSQ: 100
SRC:   205 2021-10-17 08:16:56.451 UWB CNT: 11, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101379 TMP: 6.8 TS: 228705677130 RSSI: -93 FPPL: -95 CSQ: 100
SRC:   212 2021-10-17 08:16:56.474 UWB CNT: 11, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101379 TMP: 6.8 TS: 228705675408 RSSI: -101 FPPL: -109 CSQ: 100
SRC:   226 2021-10-17 08:16:56.481 UWB CNT: 11, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101379 TMP: 6.8 TS: 228705676168 RSSI: -94 FPPL: -97 CSQ: 100
SRC:   213 2021-10-17 08:16:56.493 UWB CNT: 11, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101379 TMP: 6.8 TS: 228705674971 RSSI: -92 FPPL: -99 CSQ: 100
SRC:   215 2021-10-17 08:16:56.525 UWB CNT: 11, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101379 TMP: 6.8 TS: 228705677080 RSSI: -102 FPPL: -108 CSQ: 100
SRC:   208 2021-10-17 08:17:01.587 UWB CNT: 12, DSTR: false, MODE: MOV, EXC: 0 WID:   222 GID:   228 BAT:  91 PRS: 101382 TMP: 6.8 TS: 563978844402 RSSI: -97 FPPL: -102 CSQ: 100
